trial,time,error
26,2.83838e+06,1.6825e-09
26,2.93256e+06,1.68177e-09
26,2.87999e+06,1.68151e-09
27,3.02576e+06,0
27,27673,0.000123594
27,248842,0.246297
27,1.17534e+06,0.0318561
27,2.47714e+06,0.000318362
27,2.87904e+06,3.16383e-06
27,2.93474e+06,0.359032
27,2.98529e+06,0.0879427
27,2.97128e+06,3.65431e-11
27,2.84667e+06,0.218471
28,2.91072e+06,0
28,28250,0.000122534
28,223273,0.180141
28,1.19006e+06,0.0595216
28,2.27694e+06,0.0350504
28,2.79488e+06,0.00757365
28,2.87986e+06,5.0807e-10
28,2.851e+06,0.061787
28,2.89988e+06,5.93278e-10
28,2.88289e+06,0.0111835
29,2.9227e+06,0
29,27067,0.000105958
29,169906,1.19595e-06
29,1.10937e+06,0.0532116
29,2.38713e+06,0.000531229
29,2.84293e+06,5.22764e-06
29,2.85501e+06,3.45437e-10
29,2.89835e+06,0.0714833
29,2.85677e+06,4.16549e-10
29,2.87705e+06,4.16975e-10
30,2.91452e+06,0
30,29647,7.07064e-05
30,240393,1.0175e-06
30,1.23744e+06,1.3848e-05
30,2.38574e+06,7.13429e-10
30,2.74507e+06,9.54119e-07
30,2.87242e+06,1.86064e-05
30,2.84317e+06,3.19412e-10
30,2.89984e+06,7.19435e-06
30,2.88919e+06,8.82307e-06
